,date,team,home,home_next,date_next,team_opp,team_opp_next
405,2024-03-23,SAS,1,1.0,2024-03-25,PHX,PHX
404,2024-03-23,HOU,1,1.0,2024-03-25,UTA,POR
989,2024-03-23,DEN,0,1.0,2024-03-25,POR,MEM
402,2024-03-23,ATL,1,1.0,2024-03-25,CHA,BOS
401,2024-03-23,ORL,1,1.0,2024-03-27,SAC,GSW
400,2024-03-23,NYK,1,1.0,2024-03-25,BKN,DET
407,2024-03-23,POR,1,0.0,2024-03-25,DEN,HOU
990,2024-03-24,NOP,0,1.0,2024-03-26,DET,OKC
995,2024-03-24,IND,0,0.0,2024-03-25,LAL,LAC
992,2024-03-24,CLE,0,1.0,2024-03-25,MIA,CHA
993,2024-03-24,OKC,0,0.0,2024-03-26,MIL,NOP
994,2024-03-24,GSW,0,0.0,2024-03-26,MIN,MIA
408,2024-03-24,DET,1,0.0,2024-03-25,NOP,NYK
409,2024-03-24,LAC,1,1.0,2024-03-25,PHI,IND
410,2024-03-24,MIA,1,1.0,2024-03-26,CLE,GSW
411,2024-03-24,MIL,1,1.0,2024-03-26,OKC,LAL
412,2024-03-24,MIN,1,1.0,2024-03-27,GSW,DET
413,2024-03-24,LAL,1,0.0,2024-03-26,IND,MIL
991,2024-03-24,PHI,0,0.0,2024-03-25,LAC,SAC
424,2024-03-25,LAC,1,0.0,2024-03-27,IND,PHI
416,2024-03-25,NYK,1,0.0,2024-03-27,DET,TOR
417,2024-03-25,TOR,1,1.0,2024-03-27,BKN,NYK
418,2024-03-25,CHI,1,1.0,2024-03-27,WAS,IND
419,2024-03-25,HOU,1,0.0,2024-03-27,POR,OKC
420,2024-03-25,SAS,1,0.0,2024-03-27,PHX,UTA
421,2024-03-25,DEN,1,1.0,2024-03-27,MEM,PHX
422,2024-03-25,UTA,1,1.0,2024-03-27,DAL,SAS
423,2024-03-25,SAC,1,1.0,2024-03-26,PHI,DAL
415,2024-03-25,ATL,1,1.0,2024-03-27,BOS,POR
414,2024-03-25,CLE,1,0.0,2024-03-27,CHA,CHA
996,2024-03-25,CHA,0,1.0,2024-03-27,CLE,CLE
1004,2024-03-25,DAL,0,0.0,2024-03-26,UTA,SAC
997,2024-03-25,BOS,0,0.0,2024-03-28,ATL,ATL
998,2024-03-25,DET,0,0.0,2024-03-27,NYK,MIN
999,2024-03-25,BKN,0,0.0,2024-03-27,TOR,WAS
1000,2024-03-25,WAS,0,1.0,2024-03-27,CHI,BKN
1001,2024-03-25,POR,0,0.0,2024-03-27,HOU,ATL
1002,2024-03-25,PHX,0,0.0,2024-03-27,SAS,DEN
1003,2024-03-25,MEM,0,1.0,2024-03-27,DEN,LAL
1005,2024-03-25,PHI,0,1.0,2024-03-27,SAC,LAC
1006,2024-03-25,IND,0,0.0,2024-03-27,LAC,CHI
1008,2024-03-26,LAL,0,0.0,2024-03-27,MIL,MEM
425,2024-03-26,MIA,1,1.0,2024-03-29,GSW,POR
426,2024-03-26,MIL,1,0.0,2024-03-28,LAL,NOP
428,2024-03-26,SAC,1,1.0,2024-03-29,DAL,DAL
1007,2024-03-26,GSW,0,0.0,2024-03-27,MIA,ORL
1009,2024-03-26,OKC,0,1.0,2024-03-27,NOP,HOU
427,2024-03-26,NOP,1,1.0,2024-03-28,OKC,MIL
1010,2024-03-26,DAL,0,0.0,2024-03-29,SAC,SAC
431,2024-03-27,WAS,1,1.0,2024-03-29,BKN,DET
1012,2024-03-27,GSW,0,0.0,2024-03-29,ORL,CHA
1013,2024-03-27,BKN,0,1.0,2024-03-29,WAS,CHI
1014,2024-03-27,POR,0,0.0,2024-03-29,ATL,MIA
1015,2024-03-27,LAC,0,0.0,2024-03-29,PHI,ORL
1016,2024-03-27,NYK,0,0.0,2024-03-29,TOR,SAS
1011,2024-03-27,CLE,0,1.0,2024-03-29,CHA,PHI
1017,2024-03-27,IND,0,1.0,2024-03-29,CHI,LAL
434,2024-03-27,TOR,1,1.0,2024-03-31,NYK,PHI
430,2024-03-27,ORL,1,1.0,2024-03-29,GSW,LAC
1020,2024-03-27,HOU,0,0.0,2024-03-29,OKC,UTA
432,2024-03-27,ATL,1,1.0,2024-03-28,POR,BOS
433,2024-03-27,PHI,1,0.0,2024-03-29,LAC,CLE
1018,2024-03-27,LAL,0,0.0,2024-03-29,MEM,IND
435,2024-03-27,CHI,1,0.0,2024-03-29,IND,BKN
436,2024-03-27,MEM,1,0.0,2024-03-30,LAL,ORL
437,2024-03-27,MIN,1,0.0,2024-03-29,DET,DEN
438,2024-03-27,OKC,1,1.0,2024-03-29,HOU,PHX
439,2024-03-27,UTA,1,1.0,2024-03-29,SAS,HOU
440,2024-03-27,DEN,1,1.0,2024-03-29,PHX,MIN
1021,2024-03-27,SAS,0,1.0,2024-03-29,UTA,NYK
1022,2024-03-27,PHX,0,0.0,2024-03-29,DEN,OKC
429,2024-03-27,CHA,1,1.0,2024-03-29,CLE,GSW
1019,2024-03-27,DET,0,0.0,2024-03-29,MIN,WAS
1024,2024-03-28,MIL,0,0.0,2024-03-30,NOP,ATL
441,2024-03-28,ATL,1,1.0,2024-03-30,BOS,MIL
442,2024-03-28,NOP,1,1.0,2024-03-30,MIL,BOS
1023,2024-03-28,BOS,0,0.0,2024-03-30,ATL,NOP
454,2024-03-29,SAC,1,1.0,2024-03-31,DAL,UTA
1033,2024-03-29,NYK,0,1.0,2024-03-31,SAS,OKC
1026,2024-03-29,LAL,0,0.0,2024-03-31,IND,BKN
453,2024-03-29,UTA,1,0.0,2024-03-31,HOU,SAC
451,2024-03-29,SAS,1,1.0,2024-03-31,NYK,GSW
450,2024-03-29,OKC,1,0.0,2024-03-31,PHX,NYK
449,2024-03-29,MIA,1,0.0,2024-03-31,POR,WAS
448,2024-03-29,CLE,1,0.0,2024-03-31,PHI,DEN
447,2024-03-29,BKN,1,1.0,2024-03-31,CHI,LAL
446,2024-03-29,WAS,1,1.0,2024-03-31,DET,MIA
445,2024-03-29,ORL,1,1.0,2024-03-30,LAC,MEM
444,2024-03-29,IND,1,1.0,2024-04-01,LAL,BKN
443,2024-03-29,CHA,1,1.0,2024-03-31,GSW,LAC
1025,2024-03-29,GSW,0,0.0,2024-03-31,CHA,SAS
452,2024-03-29,DEN,1,1.0,2024-03-31,MIN,CLE
1036,2024-03-29,DAL,0,0.0,2024-03-31,SAC,HOU
1035,2024-03-29,HOU,0,1.0,2024-03-31,UTA,DAL
1034,2024-03-29,MIN,0,1.0,2024-03-31,DEN,CHI
1032,2024-03-29,PHX,0,0.0,2024-04-01,OKC,NOP
1031,2024-03-29,POR,0,0.0,2024-04-01,MIA,ORL
1030,2024-03-29,PHI,0,0.0,2024-03-31,CLE,TOR
1029,2024-03-29,CHI,0,0.0,2024-03-31,BKN,MIN
1028,2024-03-29,DET,0,1.0,2024-04-01,WAS,MEM
1027,2024-03-29,LAC,0,0.0,2024-03-31,ORL,CHA
1037,2024-03-30,BOS,0,0.0,2024-04-01,NOP,CHA
457,2024-03-30,ATL,1,0.0,2024-04-01,MIL,CHI
455,2024-03-30,NOP,1,1.0,2024-04-01,BOS,PHX
456,2024-03-30,ORL,1,1.0,2024-04-01,MEM,POR
1038,2024-03-30,MEM,0,0.0,2024-04-01,ORL,DET
1039,2024-03-30,MIL,0,0.0,2024-04-02,ATL,WAS
467,2024-03-31,SAC,1,1.0,2024-04-02,UTA,LAC
459,2024-03-31,BKN,1,0.0,2024-04-01,LAL,IND
1040,2024-03-31,CLE,0,0.0,2024-04-02,DEN,UTA
1041,2024-03-31,LAL,0,0.0,2024-04-02,BKN,TOR
1042,2024-03-31,LAC,0,0.0,2024-04-02,CHA,SAC
1043,2024-03-31,PHI,0,1.0,2024-04-02,TOR,OKC
1044,2024-03-31,MIA,0,1.0,2024-04-02,WAS,NYK
1045,2024-03-31,DAL,0,1.0,2024-04-02,HOU,GSW
1046,2024-03-31,CHI,0,1.0,2024-04-01,MIN,ATL
1047,2024-03-31,OKC,0,0.0,2024-04-02,NYK,PHI
1048,2024-03-31,GSW,0,0.0,2024-04-02,SAS,DAL
458,2024-03-31,DEN,1,1.0,2024-04-02,CLE,SAS
1049,2024-03-31,UTA,0,1.0,2024-04-02,SAC,CLE
466,2024-03-31,SAS,1,0.0,2024-04-02,GSW,DEN
465,2024-03-31,NYK,1,0.0,2024-04-02,OKC,MIA
464,2024-03-31,MIN,1,1.0,2024-04-02,CHI,HOU
463,2024-03-31,HOU,1,0.0,2024-04-02,DAL,MIN
462,2024-03-31,WAS,1,1.0,2024-04-02,MIA,MIL
461,2024-03-31,TOR,1,1.0,2024-04-02,PHI,LAL
460,2024-03-31,CHA,1,1.0,2024-04-01,LAC,BOS
1051,2024-04-01,MEM,0,0.0,2024-04-03,DET,MIL
1053,2024-04-01,POR,0,0.0,2024-04-03,ORL,CHA
1050,2024-04-01,BOS,0,1.0,2024-04-03,CHA,OKC
1052,2024-04-01,BKN,0,1.0,2024-04-03,IND,IND
1055,2024-04-01,PHX,0,1.0,2024-04-03,NOP,CLE
472,2024-04-01,CHI,1,1.0,2024-04-05,ATL,NYK
470,2024-04-01,IND,1,0.0,2024-04-03,BKN,BKN
471,2024-04-01,ORL,1,0.0,2024-04-03,POR,NOP
473,2024-04-01,NOP,1,1.0,2024-04-03,PHX,ORL
469,2024-04-01,DET,1,0.0,2024-04-03,MEM,ATL
468,2024-04-01,CHA,1,1.0,2024-04-03,BOS,POR
1054,2024-04-01,ATL,0,1.0,2024-04-03,CHI,DET
479,2024-04-02,MIN,1,1.0,2024-04-03,HOU,TOR
478,2024-04-02,MIA,1,1.0,2024-04-04,NYK,PHI
481,2024-04-02,UTA,1,0.0,2024-04-05,CLE,LAC
476,2024-04-02,WAS,1,1.0,2024-04-03,MIL,LAL
475,2024-04-02,TOR,1,0.0,2024-04-03,LAL,MIN
474,2024-04-02,PHI,1,0.0,2024-04-04,OKC,MIA
482,2024-04-02,SAC,1,0.0,2024-04-04,LAC,NYK
1056,2024-04-02,OKC,0,0.0,2024-04-03,PHI,BOS
480,2024-04-02,DEN,1,0.0,2024-04-04,SAS,LAC
477,2024-04-02,DAL,1,1.0,2024-04-05,GSW,ATL
1057,2024-04-02,LAL,0,0.0,2024-04-03,TOR,WAS
1061,2024-04-02,HOU,0,1.0,2024-04-04,MIN,GSW
1063,2024-04-02,CLE,0,0.0,2024-04-03,UTA,PHX
1062,2024-04-02,SAS,0,0.0,2024-04-05,DEN,NOP
1060,2024-04-02,NYK,0,1.0,2024-04-04,MIA,SAC
1058,2024-04-02,MIL,0,1.0,2024-04-03,WAS,MEM
1059,2024-04-02,GSW,0,0.0,2024-04-04,DAL,HOU
1064,2024-04-02,LAC,0,1.0,2024-04-04,SAC,DEN
1066,2024-04-03,LAL,0,1.0,2024-04-06,WAS,CLE
1067,2024-04-03,DET,0,0.0,2024-04-05,ATL,MEM
1068,2024-04-03,OKC,0,0.0,2024-04-05,BOS,IND
1069,2024-04-03,IND,0,1.0,2024-04-05,BKN,OKC
1070,2024-04-03,MEM,0,1.0,2024-04-05,MIL,DET
1071,2024-04-03,TOR,0,0.0,2024-04-05,MIN,MIL
1072,2024-04-03,ORL,0,0.0,2024-04-05,NOP,CHA
1073,2024-04-03,CLE,0,0.0,2024-04-06,PHX,LAL
491,2024-04-03,PHX,1,1.0,2024-04-05,CLE,MIN
490,2024-04-03,NOP,1,1.0,2024-04-05,ORL,SAS
483,2024-04-03,CHA,1,1.0,2024-04-05,POR,ORL
1065,2024-04-03,POR,0,0.0,2024-04-05,CHA,WAS
484,2024-04-03,WAS,1,1.0,2024-04-05,LAL,POR
485,2024-04-03,ATL,1,0.0,2024-04-05,DET,DAL
486,2024-04-03,BOS,1,1.0,2024-04-05,OKC,SAC
487,2024-04-03,BKN,1,1.0,2024-04-06,IND,DET
488,2024-04-03,MIL,1,1.0,2024-04-05,MEM,TOR
489,2024-04-03,MIN,1,0.0,2024-04-05,TOR,PHX
494,2024-04-04,HOU,1,1.0,2024-04-05,GSW,MIA
495,2024-04-04,LAC,1,1.0,2024-04-05,DEN,UTA
492,2024-04-04,MIA,1,0.0,2024-04-05,PHI,HOU
493,2024-04-04,NYK,1,0.0,2024-04-05,SAC,CHI
1074,2024-04-04,PHI,0,0.0,2024-04-06,MIA,MEM
1075,2024-04-04,SAC,0,0.0,2024-04-05,NYK,BOS
1077,2024-04-04,DEN,0,1.0,2024-04-06,LAC,ATL
1076,2024-04-04,GSW,0,1.0,2024-04-07,HOU,UTA
500,2024-04-05,CHI,1,0.0,2024-04-07,NYK,ORL
501,2024-04-05,HOU,1,0.0,2024-04-07,MIA,DAL
502,2024-04-05,MEM,1,1.0,2024-04-06,DET,PHI
503,2024-04-05,MIL,1,1.0,2024-04-07,TOR,NYK
504,2024-04-05,NOP,1,0.0,2024-04-07,SAS,PHX
505,2024-04-05,DAL,1,1.0,2024-04-07,ATL,HOU
506,2024-04-05,PHX,1,1.0,2024-04-07,MIN,NOP
507,2024-04-05,LAC,1,1.0,2024-04-07,UTA,CLE
497,2024-04-05,IND,1,1.0,2024-04-07,OKC,MIA
496,2024-04-05,CHA,1,1.0,2024-04-07,ORL,OKC
499,2024-04-05,BOS,1,1.0,2024-04-07,SAC,POR
1078,2024-04-05,ORL,0,1.0,2024-04-07,CHA,CHI
498,2024-04-05,WAS,1,0.0,2024-04-07,POR,TOR
1080,2024-04-05,POR,0,0.0,2024-04-07,WAS,BOS
1089,2024-04-05,UTA,0,0.0,2024-04-07,LAC,GSW
1088,2024-04-05,MIN,0,0.0,2024-04-07,PHX,LAL
1087,2024-04-05,ATL,0,0.0,2024-04-06,DAL,DEN
1086,2024-04-05,SAS,0,1.0,2024-04-07,NOP,PHI
1079,2024-04-05,OKC,0,0.0,2024-04-07,IND,CHA
1085,2024-04-05,TOR,0,1.0,2024-04-07,MIL,WAS
1084,2024-04-05,DET,0,0.0,2024-04-06,MEM,BKN
1083,2024-04-05,MIA,0,0.0,2024-04-07,HOU,IND
1082,2024-04-05,NYK,0,0.0,2024-04-07,CHI,MIL
1081,2024-04-05,SAC,0,0.0,2024-04-07,BOS,BKN
509,2024-04-06,BKN,1,1.0,2024-04-07,DET,SAC
508,2024-04-06,LAL,1,1.0,2024-04-07,CLE,MIN
511,2024-04-06,DEN,1,0.0,2024-04-09,ATL,UTA
1090,2024-04-06,CLE,0,0.0,2024-04-07,LAL,LAC
1091,2024-04-06,DET,0,0.0,2024-04-09,BKN,PHI
1092,2024-04-06,PHI,0,0.0,2024-04-07,MEM,SAS
510,2024-04-06,MEM,1,1.0,2024-04-09,PHI,SAS
1093,2024-04-06,ATL,0,1.0,2024-04-09,DEN,MIA
523,2024-04-07,GSW,1,0.0,2024-04-09,UTA,LAL
513,2024-04-07,LAC,1,0.0,2024-04-09,CLE,PHX
1100,2024-04-07,NOP,0,0.0,2024-04-09,PHX,POR
1101,2024-04-07,WAS,0,0.0,2024-04-09,TOR,MIN
1102,2024-04-07,NYK,0,0.0,2024-04-09,MIL,CHI
1103,2024-04-07,PHI,0,1.0,2024-04-09,SAS,DET
1104,2024-04-07,SAC,0,0.0,2024-04-09,BKN,OKC
1105,2024-04-07,UTA,0,1.0,2024-04-09,GSW,DEN
1106,2024-04-07,MIN,0,1.0,2024-04-09,LAL,WAS
512,2024-04-07,DAL,1,0.0,2024-04-09,HOU,CHA
1097,2024-04-07,POR,0,1.0,2024-04-09,BOS,NOP
1096,2024-04-07,MIA,0,0.0,2024-04-09,IND,ATL
1099,2024-04-07,CHI,0,1.0,2024-04-09,ORL,NYK
1095,2024-04-07,CLE,0,1.0,2024-04-10,LAC,MEM
524,2024-04-07,LAL,1,1.0,2024-04-09,MIN,GSW
522,2024-04-07,BKN,1,1.0,2024-04-10,SAC,TOR
521,2024-04-07,SAS,1,0.0,2024-04-09,PHI,MEM
520,2024-04-07,MIL,1,1.0,2024-04-09,NYK,BOS
519,2024-04-07,TOR,1,1.0,2024-04-09,WAS,IND
518,2024-04-07,PHX,1,1.0,2024-04-09,NOP,LAC
517,2024-04-07,ORL,1,0.0,2024-04-09,CHI,HOU
516,2024-04-07,CHA,1,1.0,2024-04-09,OKC,DAL
515,2024-04-07,BOS,1,0.0,2024-04-09,POR,MIL
514,2024-04-07,IND,1,0.0,2024-04-09,MIA,TOR
1094,2024-04-07,HOU,0,1.0,2024-04-09,DAL,ORL
1098,2024-04-07,OKC,0,1.0,2024-04-09,CHA,SAC
1107,2024-04-09,DAL,0,0.0,2024-04-10,CHA,MIA
1109,2024-04-09,IND,0,0.0,2024-04-12,TOR,CLE
1111,2024-04-09,BOS,0,1.0,2024-04-11,MIL,NYK
1112,2024-04-09,NYK,0,0.0,2024-04-11,CHI,BOS
1108,2024-04-09,DET,0,1.0,2024-04-11,PHI,CHI
1110,2024-04-09,MIA,0,1.0,2024-04-10,ATL,DAL
1114,2024-04-09,SAS,0,0.0,2024-04-10,MEM,OKC
1116,2024-04-09,SAC,0,1.0,2024-04-11,OKC,NOP
536,2024-04-09,LAL,1,0.0,2024-04-12,GSW,MEM
537,2024-04-09,PHX,1,0.0,2024-04-10,LAC,LAC
538,2024-04-09,POR,1,1.0,2024-04-11,NOP,GSW
1115,2024-04-09,WAS,0,1.0,2024-04-12,MIN,CHI
533,2024-04-09,MIN,1,0.0,2024-04-10,WAS,DEN
532,2024-04-09,MEM,1,0.0,2024-04-10,SAS,CLE
531,2024-04-09,HOU,1,0.0,2024-04-11,ORL,UTA
530,2024-04-09,CHI,1,0.0,2024-04-11,NYK,DET
535,2024-04-09,UTA,1,1.0,2024-04-11,DEN,HOU
529,2024-04-09,MIL,1,1.0,2024-04-10,BOS,ORL
528,2024-04-09,ATL,1,1.0,2024-04-10,MIA,CHA
527,2024-04-09,TOR,1,0.0,2024-04-10,IND,BKN
526,2024-04-09,PHI,1,1.0,2024-04-12,DET,ORL
525,2024-04-09,CHA,1,0.0,2024-04-10,DAL,ATL
1113,2024-04-09,ORL,0,0.0,2024-04-10,HOU,MIL
534,2024-04-09,OKC,1,1.0,2024-04-10,SAC,SAS
1117,2024-04-09,DEN,0,1.0,2024-04-10,UTA,MIN
1118,2024-04-09,GSW,0,0.0,2024-04-11,LAL,POR
1119,2024-04-09,LAC,0,1.0,2024-04-10,PHX,PHX
1120,2024-04-09,NOP,0,0.0,2024-04-11,POR,SAC
546,2024-04-10,LAC,1,1.0,2024-04-12,PHX,UTA
543,2024-04-10,MIL,1,0.0,2024-04-12,ORL,OKC
542,2024-04-10,MIA,1,1.0,2024-04-12,DAL,TOR
541,2024-04-10,BKN,1,0.0,2024-04-12,TOR,NYK
540,2024-04-10,ATL,1,0.0,2024-04-12,CHA,MIN
539,2024-04-10,CLE,1,1.0,2024-04-12,MEM,IND
1122,2024-04-10,CHA,0,0.0,2024-04-12,ATL,BOS
545,2024-04-10,DEN,1,0.0,2024-04-12,MIN,SAS
1123,2024-04-10,TOR,0,0.0,2024-04-12,BKN,MIA
1124,2024-04-10,DAL,0,1.0,2024-04-12,MIA,DET
1125,2024-04-10,ORL,0,0.0,2024-04-12,MIL,PHI
1126,2024-04-10,SAS,0,1.0,2024-04-12,OKC,DEN
1127,2024-04-10,MIN,0,1.0,2024-04-12,DEN,ATL
1128,2024-04-10,PHX,0,0.0,2024-04-12,LAC,SAC
1121,2024-04-10,MEM,0,1.0,2024-04-12,CLE,LAL
544,2024-04-10,OKC,1,1.0,2024-04-12,SAS,MIL
1132,2024-04-11,GSW,0,1.0,2024-04-12,POR,NOP
548,2024-04-11,BOS,1,1.0,2024-04-12,NYK,CHA
1131,2024-04-11,HOU,0,0.0,2024-04-12,UTA,POR
550,2024-04-11,POR,1,1.0,2024-04-12,GSW,HOU
551,2024-04-11,SAC,1,1.0,2024-04-12,NOP,PHX
1129,2024-04-11,CHI,0,0.0,2024-04-12,DET,WAS
1130,2024-04-11,NYK,0,1.0,2024-04-12,BOS,BKN
1133,2024-04-11,NOP,0,0.0,2024-04-12,SAC,GSW
547,2024-04-11,DET,1,0.0,2024-04-12,CHI,DAL
549,2024-04-11,UTA,1,0.0,2024-04-12,HOU,LAC
1144,2024-04-12,DET,0,0.0,2024-04-14,DAL,SAS
1142,2024-04-12,MIL,0,0.0,2024-04-14,OKC,ORL
1141,2024-04-12,ATL,0,0.0,2024-04-14,MIN,IND
1140,2024-04-12,TOR,0,0.0,2024-04-14,MIA,MIA
1138,2024-04-12,BKN,0,0.0,2024-04-14,NYK,PHI
1137,2024-04-12,IND,0,1.0,2024-04-14,CLE,ATL
1136,2024-04-12,CHA,0,0.0,2024-04-14,BOS,CLE
1135,2024-04-12,CHI,0,0.0,2024-04-14,WAS,NYK
1134,2024-04-12,ORL,0,1.0,2024-04-14,PHI,MIL
1143,2024-04-12,DEN,0,0.0,2024-04-14,SAS,MEM
1139,2024-04-12,LAL,0,0.0,2024-04-14,MEM,NOP
1146,2024-04-12,HOU,0,0.0,2024-04-14,POR,LAC
1148,2024-04-12,PHX,0,0.0,2024-04-14,SAC,MIN
552,2024-04-12,PHI,1,1.0,2024-04-14,ORL,BKN
553,2024-04-12,WAS,1,0.0,2024-04-14,CHI,BOS
554,2024-04-12,BOS,1,1.0,2024-04-14,CHA,WAS
555,2024-04-12,CLE,1,1.0,2024-04-14,IND,CHA
556,2024-04-12,NYK,1,1.0,2024-04-14,BKN,CHI
557,2024-04-12,MEM,1,1.0,2024-04-14,LAL,DEN
558,2024-04-12,MIA,1,1.0,2024-04-14,TOR,TOR
559,2024-04-12,MIN,1,1.0,2024-04-14,ATL,PHX
560,2024-04-12,OKC,1,1.0,2024-04-14,MIL,DAL
561,2024-04-12,SAS,1,1.0,2024-04-14,DEN,DET
562,2024-04-12,DAL,1,0.0,2024-04-14,DET,OKC
563,2024-04-12,GSW,1,1.0,2024-04-14,NOP,UTA
564,2024-04-12,POR,1,0.0,2024-04-14,HOU,SAC
1147,2024-04-12,UTA,0,0.0,2024-04-14,LAC,GSW
565,2024-04-12,LAC,1,1.0,2024-04-14,UTA,HOU
1145,2024-04-12,NOP,0,1.0,2024-04-14,GSW,LAL
566,2024-04-12,SAC,1,1.0,2024-04-14,PHX,POR
1161,2024-04-14,DAL,0,,,OKC,
1160,2024-04-14,LAL,0,,,NOP,
1159,2024-04-14,PHX,0,,,MIN,
1158,2024-04-14,DEN,0,,,MEM,
1157,2024-04-14,HOU,0,,,LAC,
1156,2024-04-14,UTA,0,,,GSW,
1154,2024-04-14,MIL,0,,,ORL,
1153,2024-04-14,CHI,0,,,NYK,
1152,2024-04-14,TOR,0,,,MIA,
1151,2024-04-14,ATL,0,,,IND,
1150,2024-04-14,CHA,0,,,CLE,
1149,2024-04-14,WAS,0,,,BOS,
1155,2024-04-14,BKN,0,,,PHI,
581,2024-04-14,SAS,1,,,DET,
580,2024-04-14,SAC,1,,,POR,
579,2024-04-14,OKC,1,,,DAL,
578,2024-04-14,NOP,1,,,LAL,
577,2024-04-14,MIN,1,,,PHX,
576,2024-04-14,MEM,1,,,DEN,
575,2024-04-14,LAC,1,,,HOU,
574,2024-04-14,GSW,1,,,UTA,
573,2024-04-14,PHI,1,,,BKN,
572,2024-04-14,ORL,1,,,MIL,
571,2024-04-14,NYK,1,,,CHI,
570,2024-04-14,MIA,1,,,TOR,
569,2024-04-14,IND,1,,,ATL,
568,2024-04-14,CLE,1,,,CHA,
567,2024-04-14,BOS,1,,,WAS,
1162,2024-04-14,POR,0,,,SAC,
1163,2024-04-14,DET,0,,,SAS,
